trial,score,kp1,kp2,kd1,kd2,diverged,diverge_time_s,steps_completed,ee_err_mean,ee_err_max,ee_err_rms,ee_err_final,q_err_mean,q_err_max,q_err_std,theta_err_mean,theta_err_max,delta_mean,delta_max,delta_std,tau_mean,tau_max,tau1_mean,tau2_mean,tau_sat_fraction,wall_disp_mean,wall_disp_max,wall_disp_std,contact_fraction,contact_steps,elapsed_s
11,75.671696,34.35,2.244,1.45,0.54,0,nan,1001,1.5616183412800795,3.1218788825212345,1.7354761482220795,2.9415292858786843,2.1088802784595395,4.711286135940768,0.9392455512528665,15.269794024145645,19.76869528536495,15.298714283340997,16.126969592878794,1.7299041701584206,279.08080116628236,282.842712474619,-0.19027220941603076,0.08619530616728739,0.987012987012987,0.018363647749269615,0.029504428204325743,0.00851079685818686,0.024975024975024976,25,0.79
12,71.562436,34.35,2.244,1.45,0.72,0,nan,1001,1.2323125836755433,1.8725772575440511,1.3060920777071774,1.177223281439021,1.7154683571221936,2.2081617011073047,0.33248100075509646,15.232326054767046,18.045807226189513,15.34228629442986,16.189411869791943,1.5534798080723984,279.7306878857297,282.842712474619,-0.19433203158465115,0.15090539876850823,0.99000999000999,0.012042209529274888,0.02702645845015569,0.007495775742857804,0.03996003996003996,40,0.79
13,72.173543,34.35,2.244,1.45,0.9,0,nan,1001,1.2666224095012124,2.0147876005673515,1.3334213401556374,1.1053411169152167,1.712482785760308,2.2142407316832218,0.3370359762331274,15.25168892164042,18.092015518447095,15.361732478457451,16.242914774736064,1.4498731912980825,280.0221391414611,282.842712474619,-0.17149694771686355,0.13945600481229684,0.991008991008991,0.020472325931612804,0.044107126055298464,0.01262431152104457,0.03296703296703297,33,0.78
14,84.774257,34.35,2.244,1.45,1.08,0,nan,1001,2.3263366371531222,3.469536412553076,2.4743376385152036,3.2172644437104347,3.2604497154280323,4.726757241664912,1.0959890792689422,15.632911313595711,18.64630510240997,15.37204770930298,16.47279154495407,1.382023158490355,280.3348827682152,282.842712474619,0.11207832648787636,0.12562347062206342,0.9920079920079921,0.005055570349449217,0.009350785975813526,0.0023231937777971156,0.007992007992007992,8,0.77
15,87.169239,34.35,2.244,1.45,1.26,0,nan,1001,2.584478721380526,3.4936901052722904,2.684831269991565,2.8787368692586783,3.5515529006834448,4.716242067842621,0.8818370428581482,15.695861812060457,18.685471205803527,15.383289399422061,16.47137878992614,1.3224318973377036,280.5032725051076,282.842712474619,0.07301031165018691,0.08839968003011264,0.993006993006993,0.01633833563127622,0.020689324260044554,0.004780601876862917,0.00999000999000999,10,0.77
16,72.603811,34.35,2.244,1.74,0.54,0,nan,1001,1.2739080005385726,1.8957603207637364,1.3359889813086152,1.3147023417960726,1.7075538456146235,2.2141803637742092,0.3440936486820555,15.199036944449881,18.061191244003457,15.308345786141988,16.475759737761788,1.7095383205328893,279.7893848397966,282.842712474619,-0.2878813201662721,0.08782170555829864,0.988011988011988,0.012120681282183748,0.022110014411867884,0.006131252037176023,0.03296703296703297,33,0.8
17,72.631974,34.35,2.244,1.74,0.72,0,nan,1001,1.279112759839161,2.079567046550161,1.3506011755654945,1.4278489745147296,1.7096333106278592,2.218835400166694,0.34344252601954556,15.236747078581388,18.10727240867161,15.34607236439809,16.475362674432006,1.5522321659253049,280.1563638180146,282.842712474619,-0.28818377575166065,0.15026766648719472,0.99000999000999,0.0024745912899158595,0.013968707257504836,0.003516641255260634,0.03396603396603397,34,0.81
18,72.82042,34.35,2.244,1.74,0.9,0,nan,1001,1.3156910787437914,2.034387879531546,1.3715354366815982,1.124705953706673,1.7032603016163548,2.214102244217979,0.3476628477019643,15.255816030093118,18.091999546222226,15.365225905872272,16.476079402426635,1.4499895125333937,280.4099526318309,282.842712474619,-0.2904220727641641,0.13904873404932117,0.991008991008991,0.007001283118619893,0.015517107179043558,0.005220763743765541,0.03196803196803197,32,0.8
19,84.939135,34.35,2.244,1.74,1.08,0,nan,1001,2.365213720988423,3.4697001428601197,2.511502806364438,2.5502612664584405,3.1684907499099486,4.750367579528109,1.107272310562122,15.54144886460502,19.814170519331263,15.373210118571784,16.47667514377898,1.3822892859326252,280.5364995833356,282.842712474619,-0.28738697197966623,0.12565104073271435,0.9920079920079921,0.005763704012682497,0.012336495495565834,0.0028416240394896412,0.006993006993006993,7,0.8
20,78.006704,34.35,2.244,1.74,1.26,0,nan,1001,1.6906967533595985,3.259734831389138,1.8505727077240246,2.554711290456014,2.2855127114038316,4.696062722004771,1.0840493592847886,15.391189374147215,19.806963115151326,15.386070690786445,16.476900783171086,1.3228543593891182,280.67990444844753,282.842712474619,-0.28773673976057434,0.08837172848143336,0.993006993006993,0.011823078652321989,0.02627328179660942,0.007235581224463186,0.01998001998001998,20,0.79
21,84.941027,34.35,2.244,2.03,0.54,0,nan,1001,2.364759810381124,3.4929380338311393,2.5102021343555743,2.768851000598764,3.1489643477771994,4.726347582745854,1.1026595819908223,15.474505738046926,19.833131587502475,15.310492199577805,16.48184096041517,1.6740371072696538,280.05531676133506,282.842712474619,-0.14383900906344704,0.08844537778065807,0.99000999000999,0.010510964269070324,0.016156671125644003,0.004450518273989887,0.006993006993006993,7,0.8
22,72.633116,34.35,2.244,2.03,0.72,0,nan,1001,1.2543485267746937,1.9411817614742362,1.3266386619374504,1.0861641273480696,1.7134720802226096,2.2143877365241567,0.33421985908295293,15.238223999969392,18.063746396045122,15.347373526729017,16.474733578504534,1.5451008580820351,280.3244949573476,282.842712474619,-0.1407496369238011,0.1496712772903281,0.99000999000999,0.013074312371606042,0.030222343876563282,0.008881211688599724,0.03596403596403597,36,0.8
23,72.659415,34.35,2.244,2.03,0.9,0,nan,1001,1.2646228915276019,2.0620692968811647,1.3410200443833251,1.098274736999406,1.7144725755648937,2.2155821122909227,0.33486810140552076,15.257597294440064,18.108257546393677,15.366738493731699,16.47552280178566,1.448712302342561,280.54475790812614,282.842712474619,-0.1418309597487547,0.13854806666152786,0.991008991008991,0.012171852394619962,0.021380015489691675,0.006381768089859132,0.03396603396603397,34,0.8
24,72.344709,34.35,2.244,2.03,1.08,0,nan,1001,1.2358211146547295,1.9038289180160364,1.309708002148997,1.0799888760851972,1.7167682402157218,2.213487263734948,0.3297411089167099,15.268505898869112,18.05015557319295,15.378533849161297,16.47638505725639,1.382133107527322,280.6504813525886,282.842712474619,-0.11756786604778303,0.12600884164151518,0.9920079920079921,0.010056711490395349,0.017678829518382667,0.004423553892906705,0.04195804195804196,42,0.79
25,72.632072,34.35,2.244,2.03,1.26,0,nan,1001,1.2642296058558014,1.9903294714192872,1.3405988706763963,1.091750765779738,1.7152659841685403,2.2152410347944596,0.3300519328903872,15.279699542619282,18.07783342022563,15.389651653457173,16.4770247768611,1.3227640321752538,280.7756279974977,282.842712474619,-0.09668275603397634,0.0884885656829941,0.993006993006993,0.011554342279811395,0.019373994638062324,0.004852959062233809,0.03796203796203796,38,0.78
26,84.101892,34.35,2.992,0.87,0.54,0,nan,1001,2.452016522007014,3.4707709068962633,2.5947284360350364,2.8409868927162303,3.2429280556047217,4.675412687159201,1.0434863204186107,15.505686927817713,18.198875662083456,15.265645701441638,15.931981592879104,1.7317051622799595,275.7926234472727,282.842712474619,4.197200612634022,0.0939861461812042,0.987012987012987,0.007101375296989815,0.013596884282693367,0.005929918912174282,0.008991008991008992,9,0.77
27,84.298582,34.35,2.992,0.87,0.72,0,nan,1001,2.474153358215875,3.481081237657605,2.610332612049865,3.123845058767561,3.2772815125702124,4.65141654820219,1.0351283872422061,15.550843440072867,18.133637476211163,15.3052555344202,15.932619984938025,1.545028507085343,276.2062222297838,282.842712474619,4.368808309869778,0.14284200952994108,0.99000999000999,0.007468086716448929,0.0117849857385984,0.004069718013014977,0.006993006993006993,7,0.77
28,83.300428,34.35,2.992,0.87,0.9,0,nan,1001,2.3553377045397386,3.4979908932486277,2.526658042028472,3.2902010083965885,3.0761006251052994,4.7114479868990236,1.0735800473614403,15.540762487854387,18.168340607353894,15.332150379247134,15.929202225228334,1.4390060575041739,277.0751953469851,282.842712474619,3.476768723299569,0.16228930935713387,0.991008991008991,0.011700737431731043,0.019355907378594935,0.0073552777228549126,0.00999000999000999,10,0.77
29,84.146328,34.35,2.992,0.87,1.08,0,nan,1001,2.4349662956592955,3.48140816064422,2.588042059866123,2.9661125522742875,3.260268606707851,4.673783944062912,1.0346827190858334,15.58103878409936,18.201798281684276,15.339438979209431,15.928792468395443,1.3679854493774222,276.86743922253976,282.842712474619,4.257718704827714,0.11005816329948588,0.9920079920079921,0.011514567909376354,0.016917419779896203,0.005833785071316244,0.006993006993006993,7,0.77
30,85.806557,34.35,2.992,0.87,1.26,0,nan,1001,2.621890782741973,3.492830510846046,2.730316307812309,2.383762878981904,3.4390592409388177,4.604606563936887,0.9030370986838955,15.617745089785853,18.125148629307525,15.34610675860743,15.970879601640657,1.310783112043794,276.68836862860354,282.842712474619,4.790592999005722,0.10508733769581062,0.993006993006993,0.016946537056119298,0.01901787709003609,0.0049686213002431215,0.004995004995004995,5,0.78
31,86.736098,34.35,2.992,1.16,0.54,0,nan,1001,2.5462242616249595,3.4921209637249446,2.6588571482968284,2.5886959500618274,3.5108545603868437,4.711205399714198,0.9232636073451003,15.605556404405966,18.653270551540576,15.299211209602218,16.40540901821542,1.7300582023587459,279.0454478627299,282.842712474619,-0.05072148192859411,0.09369694096798017,0.987012987012987,0.020346372016164998,0.027350332696937974,0.008777927559419845,0.008991008991008992,9,0.77
